SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SMARTLINK,EQ,137.92,137.92,131,132.49,132.12,133.09,7275,976705.00,27-Oct-2025,269,INE178C01020
SMARTWORKS,EQ,563.1,568.45,548.05,559.75,568.45,557.5,114457,64012110.45,27-Oct-2025,5446,INE0NAZ01010
8SMC29,N1,509.48,509.48,508,508,508,509.16,17,8646.36,27-Oct-2025,2,INE05NX24023
8SMC30,N2,510,510,504,504,504,511,87,44010.00,27-Oct-2025,8,INE05NX24031
SMCGLOBAL,EQ,135,136.77,134.3,135.41,135.55,136.32,62814,8516136.71,27-Oct-2025,1731,INE103C01036
SMLISUZU,EQ,2934.9,3021.9,2855.8,3021.9,3021.9,2878,63013,186194443.50,27-Oct-2025,6956,INE294B01019
SMSLIFE,EQ,1110.2,1140.3,1105,1119.6,1112,1122.4,1710,1906795.70,27-Oct-2025,188,INE320X01016
SMSPHARMA,EQ,300,304.98,296.9,299.7,299,297.69,635353,190984188.67,27-Oct-2025,21326,INE812G01025
SNEHAA,SM,78.5,80,78.5,78.5,78.5,78.5,8000,635300.00,27-Oct-2025,5,INE1OIC01018
SNOWMAN,EQ,50.5,51.44,50.5,50.93,50.95,50.72,159465,8131361.01,27-Oct-2025,1205,INE734N01019
SOBHA,EQ,1547,1596,1534.7,1569,1568,1534.7,367812,578750333.10,27-Oct-2025,25317,INE671H01015
SOFTTECH,EQ,370.1,371.3,326.1,351.4,350,365.85,24893,8674074.15,27-Oct-2025,2585,INE728Z01015
SOLARINDS,EQ,14079,14152,13954,14019,14016,14017,50716,711980165.00,27-Oct-2025,14025,INE343H01029
SOLARA,EQ,591.95,594.9,585.9,590.95,590.2,591.15,73319,43310379.25,27-Oct-2025,13470,INE624Z01016
SOLARAPP1,E1,426,435.25,415.15,432,431,426,1494,639808.15,27-Oct-2025,73,IN9624Z01022
SOLARWORLD,EQ,310,310,298.6,299.4,299.9,310.4,316041,95480932.80,27-Oct-2025,17021,INE0TY101024
SOLEX,EQ,1480,1540,1475.85,1540,1540,1466.7,21352,32308763.00,27-Oct-2025,886,INE880Y01017
BALCO,SM,28,28,28,28,28,28.45,1200,33600.00,27-Oct-2025,1,INE0U0201016
SDBL,EQ,131.47,132.25,127.57,128.04,127.94,131.13,479018,62035520.28,27-Oct-2025,9199,INE480C01038
SOMATEX,BE,114.6,114.63,114.6,114.63,114.63,109.18,12483,1430815.14,27-Oct-2025,118,INE314C01013
SOMANYCERA,EQ,455,456.35,447.8,451.4,451.75,453.6,10461,4723355.50,27-Oct-2025,1034,INE355A01028
SOMICONVEY,EQ,156.73,160.83,154.8,158.76,158.99,153.65,38106,6034899.17,27-Oct-2025,922,INE323J01019
SONACOMS,EQ,478.7,487,476.25,483.85,484.2,478.7,2411589,1164763826.20,27-Oct-2025,32866,INE073K01018
SONAMAC,SM,72.15,72.45,72,72.1,72,73.05,8000,577050.00,27-Oct-2025,8,INE0Q6H01012
SONAMLTD,EQ,42.16,42.16,40.36,41.19,41.5,41.15,49365,2027554.34,27-Oct-2025,1086,INE00LM01029
SONATSOFTW,EQ,372.7,376,370.15,374.2,373.85,371.65,597499,223176289.15,27-Oct-2025,14853,INE269A01021
SOUTHWEST,EQ,138.05,142.79,138.05,142.09,141.55,140.02,36749,5212013.03,27-Oct-2025,544,INE980Y01015
SPRL,SM,199.4,199.4,199.4,199.4,199.4,189.95,800,159520.00,27-Oct-2025,1,INE0JW501011
SPCENET,BE,10.56,10.92,9.88,10.87,10.68,10.4,2926097,30942847.67,27-Oct-2025,1506,INE970N01027
SSFLPP,E1,119.85,121,118,120.45,120.5,119.25,2949,354287.60,27-Oct-2025,83,IN9572J01019
SPANDANA,EQ,248,251,245.05,247.85,246.1,247.25,165508,41071344.70,27-Oct-2025,7039,INE572J01011
SPECIALITY,EQ,143.2,144,140.12,141.1,140.3,142.33,19500,2765658.49,27-Oct-2025,475,INE247M01014
SPECTRUM,EQ,1355.2,1425,1327,1399.2,1412.8,1332.2,5425,7571129.90,27-Oct-2025,308,INE01EO01010
SPECTSTM,SM,100,100,100,100,100,97.4,800,80000.00,27-Oct-2025,1,INE0OL001018
SPENCERS,EQ,50.53,52.5,50.4,51.58,51.98,50.98,268528,13911252.01,27-Oct-2025,1408,INE020801028
SPIC,EQ,89.48,90.8,89.2,89.76,89.6,89.48,367487,33044818.24,27-Oct-2025,3794,INE147A01011
SPLIL,EQ,39,39.3,38.31,39.02,39.3,38.49,1702,65557.39,27-Oct-2025,43,INE978G01016
SPMLINFRA,EQ,224.8,240.24,223.3,229.73,230.5,222.09,461083,107193269.65,27-Oct-2025,10081,INE937A01023
SPORTKING,EQ,102,103.28,101,102.43,102.32,102.1,69939,7145188.23,27-Oct-2025,1353,INE885H01029
SPPPOLY,SM,18.15,18.15,17.2,17.6,17.6,17.75,22000,387500.00,27-Oct-2025,11,INE0QR801013
SPUNWEB,SM,146,146,142,146,146,146,7200,1041540.00,27-Oct-2025,6,INE19QH01010
SRHHYPOLTD,EQ,558.4,561.8,551.8,555.9,559.95,554.85,10776,6004008.05,27-Oct-2025,465,INE917H01012
SREEL,EQ,230,230.72,227,228.41,229,228.52,2364,539783.32,27-Oct-2025,142,INE099F01013
SRF,EQ,3096,3103.6,2985.1,3019.4,3014.9,3082,1370317,4148522101.10,27-Oct-2025,62424,INE647A01010
SRGHFL,EQ,295.6,299.95,291.15,292.25,292,295.55,1322,387826.55,27-Oct-2025,96,INE559N01010
SABTNL,EQ,826,827.95,794,796.85,802.25,826.05,2753,2209306.10,27-Oct-2025,427,INE416A01044
HAVISHA,EQ,2.16,2.17,1.74,2.02,2.05,2.18,197109,404480.02,27-Oct-2025,208,INE293B01029
